----------
Target: 1496673325239,0,0.6,15
2,1496673339581,-0.03652693,0.275,9.087168
2,1496673339593,-0.0357375,0.275,9.154427
2,1496673339604,-0.03494819,0.275,9.221675
2,1496673339615,-0.03415901,0.275,9.288913
2,1496673339626,-0.03336996,0.275,9.356139
2,1496673339637,-0.03258103,0.275,9.423355
2,1496673339648,-0.03179222,0.275,9.490561
2,1496673339659,-0.03100353,0.275,9.557755
2,1496673339671,-0.03021498,0.275,9.62494
2,1496673339682,-0.02942654,0.275,9.692114
2,1496673339693,-0.02863824,0.275,9.759276
2,1496673339704,-0.02785006,0.275,9.826428
2,1496673339715,-0.027062,0.275,9.89357
2,1496673339726,-0.02627407,0.275,9.960701
2,1496673339738,-0.02548626,0.275,10.02782
2,1496673339749,-0.02469858,0.275,10.09493
2,1496673339760,-0.02391102,0.275,10.16203
2,1496673339771,-0.02312359,0.275,10.22912
2,1496673339782,-0.02233629,0.275,10.2962
2,1496673339793,-0.0215491,0.275,10.36326
2,1496673339805,-0.02076205,0.275,10.43032
2,1496673339816,-0.01997511,0.275,10.49736
2,1496673339827,-0.01918831,0.275,10.5644
2,1496673339838,-0.01840163,0.275,10.63142
2,1496673339849,-0.01761507,0.275,10.69844
2,1496673339860,-0.01682864,0.275,10.76544
2,1496673339871,-0.01604233,0.275,10.83243
2,1496673339883,-0.01525615,0.275,10.89942
2,1496673339894,-0.01447009,0.275,10.96639
2,1496673339905,-0.01368416,0.275,11.03335
2,1496673339916,-0.01289835,0.275,11.1003
2,1496673339928,-0.01211266,0.275,11.16724
2,1496673339939,-0.0113271,0.275,11.23416
2,1496673339950,-0.01054167,0.275,11.30108
2,1496673339961,-0.00975636,0.275,11.36799
2,1496673339972,-0.008971175,0.275,11.43489
2,1496673339983,-0.008186116,0.275,11.50177
2,1496673339994,-0.00740118,0.275,11.56865
2,1496673340006,-0.00661637,0.275,11.63551
2,1496673340017,-0.005831688,0.275,11.70237
2,1496673340028,-0.005047125,0.275,11.76921
2,1496673340039,-0.004262688,0.275,11.83605
2,1496673340050,-0.003478376,0.275,11.90287
2,1496673340062,-0.002694185,0.275,11.96968
2,1496673340072,-0.001910122,0.275,12.03648
2,1496673340083,-0.001126182,0.275,12.10327
2,1496673340094,-0.0003423716,0.275,12.17005
2,1496673340105,0.0004413186,0.275,12.23682
2,1496673340116,0.001224885,0.275,12.30358
2,1496673340127,0.002008326,0.275,12.37033
2,1496673340139,0.002791643,0.275,12.43707
2,1496673340150,0.003574837,0.275,12.50379
2,1496673340161,0.004357905,0.275,12.57051
2,1496673340172,0.005140849,0.275,12.63721
2,1496673340183,0.005923668,0.275,12.70391
2,1496673340195,0.006706364,0.275,12.77059
2,1496673340206,0.007488936,0.275,12.83727
2,1496673340217,0.008271381,0.275,12.90393
2,1496673340228,0.009053704,0.275,12.97059
2,1496673340239,0.009835903,0.275,13.03723
2,1496673340250,0.01061797,0.275,13.10386
2,1496673340261,0.01139992,0.275,13.17048
2,1496673340273,0.01218175,0.275,13.23709
2,1496673340284,0.01296345,0.275,13.30369
2,1496673340295,0.01374503,0.275,13.37028
2,1496673340306,0.01452648,0.275,13.43686
2,1496673340317,0.01530781,0.275,13.50343
2,1496673340329,0.01608901,0.275,13.56999
2,1496673340340,0.01687009,0.275,13.63653
2,1496673340351,0.01765105,0.275,13.70307
2,1496673340362,0.01843189,0.275,13.7696
2,1496673340373,0.01921259,0.275,13.83611
2,1496673340384,0.01999318,0.275,13.90262
2,1496673340396,0.02077364,0.275,13.96911
2,1496673340407,0.02155397,0.275,14.0356
2,1496673340418,0.02233419,0.275,14.10207
2,1496673340429,0.02311428,0.275,14.16853
2,1496673340440,0.02389424,0.275,14.23499
2,1496673340451,0.02467409,0.275,14.30143
2,1496673340463,0.02545381,0.275,14.36786
2,1496673340474,0.0262334,0.275,14.43428
2,1496673340485,0.02701287,0.275,14.50069
2,1496673340496,0.02779222,0.275,14.56709
2,1496673340507,0.02857144,0.275,14.63348
2,1496673340519,0.02935054,0.275,14.69986
2,1496673340530,0.03012952,0.275,14.76622
2,1496673340541,0.03090837,0.275,14.83258
2,1496673340552,0.0316871,0.275,14.89893
2,1496673340563,0.0324657,0.275,14.96527
2,1496673340574,0.03324419,0.275,15.03159
2,1496673340585,0.03402254,0.275,15.09791
2,1496673340597,0.03480078,0.275,15.16421
2,1496673340608,0.03557889,0.275,15.23051
2,1496673340619,0.03635688,0.275,15.29679
2,1496673340630,0.03713474,0.275,15.36306
2,1496673340641,0.03791248,0.275,15.42932
2,1496673340652,0.03869009,0.275,15.49558
2,1496673340664,0.03946758,0.275,15.56182
2,1496673340675,0.04024495,0.275,15.62805
2,1496673340686,0.0410222,0.275,15.69427
2,1496673340697,0.04179932,0.275,15.76048
2,1496673340709,0.04257632,0.275,15.82668
2,1496673340719,0.04335319,0.275,15.89287
2,1496673340731,0.04412995,0.275,15.95904
2,1496673340742,0.04490658,0.275,16.02521
2,1496673340753,0.04568308,0.275,16.09137
2,1496673340764,0.04645947,0.275,16.15752
2,1496673340775,0.04723573,0.275,16.22366
2,1496673340786,0.04801187,0.275,16.28978
2,1496673340798,0.04878787,0.275,16.3559
2,1496673340809,0.04956377,0.275,16.422
2,1496673340820,0.05033953,0.275,16.4881
2,1496673340831,0.05111518,0.275,16.55418
2,1496673340842,0.0518907,0.275,16.62026
2,1496673340854,0.0526661,0.275,16.68632
2,1496673340865,0.05344137,0.275,16.75237
2,1496673340876,0.05421653,0.275,16.81841
2,1496673340887,0.05499155,0.275,16.88445
2,1496673340898,0.05576646,0.275,16.95047
2,1496673340909,0.05654124,0.275,17.01648
2,1496673340920,0.0573159,0.275,17.08248
2,1496673340932,0.05809044,0.275,17.14847
2,1496673340943,0.05990535,0.2922269,17.171
2,1496673340954,0.06267945,0.3135277,17.19061
2,1496673340965,0.06491985,0.3329332,17.21218
2,1496673340976,0.06731242,0.351425,17.23294
2,1496673340987,0.07032871,0.3697497,17.25105
2,1496673340999,0.07396434,0.3881606,17.2657
2,1496673341010,0.07798395,0.4059709,17.27741
2,1496673341021,0.08232819,0.422898,17.28707
2,1496673341032,0.08670267,0.438871,17.2954
2,1496673341043,0.09115814,0.4538926,17.30243
2,1496673341055,0.09572228,0.4679472,17.30827
